Year,Date,Month,AQI
2021,15,Aug,64
2021,16,Aug,64
2021,17,Aug,59.0
2021,18,Aug,59.0
2021,19,Aug,63.0
2021,20,Aug,59.0
2021,21,Aug,63.0
2021,22,Aug,58.0
2021,23,Aug,56.0
2021,24,Aug,66.0
2021,25,Aug,78.0
2021,26,Aug,79.0
2021,27,Aug,69.0
2021,28,Aug,64
2021,29,Aug,64
2021,30,Aug,65.0
2021,31,Aug,62.0
2021,01,Sep,61.0
2021,02,Sep,60.0
2021,03,Sep,63.0
2021,04,Sep,87
2021,05,Sep,87
2021,06,Sep,87
2021,07,Sep,87
2021,08,Sep,87
2021,09,Sep,57.0
2021,10,Sep,56.0
2021,11,Sep,61.0
2021,12,Sep,60.0
2021,13,Sep,373.0
2021,14,Sep,353.0
2021,15,Sep,65.0
2021,16,Sep,72.0
2021,17,Sep,67.0
2021,18,Sep,59.0
2021,19,Sep,65.0
2021,20,Sep,87
2021,21,Sep,62.0
2021,22,Sep,61.0
2021,23,Sep,60.0
2021,24,Sep,58.0
2021,25,Sep,57.0
2021,26,Sep,62.0
2021,27,Sep,59.0
2021,28,Sep,56.0
2021,29,Sep,47.0
2021,30,Sep,87
2021,31,Sep,87
2021,01,Oct,80
2021,02,Oct,80
2021,03,Oct,80
2021,04,Oct,80
2021,05,Oct,80
2021,06,Oct,80
2021,07,Oct,80
2021,08,Oct,80
2021,09,Oct,80
2021,10,Oct,80
2021,11,Oct,80
2021,12,Oct,80
2021,13,Oct,80
2021,14,Oct,80
2021,15,Oct,80
2021,16,Oct,80
2021,17,Oct,80
2021,18,Oct,80
2021,19,Oct,80
2021,20,Oct,80
2021,21,Oct,84.0
2021,22,Oct,84.0
2021,23,Oct,88.0
2021,24,Oct,82.0
2021,25,Oct,70.0
2021,26,Oct,79.0
2021,27,Oct,79.0
2021,28,Oct,80
2021,29,Oct,72.0
2021,30,Oct,80
2021,31,Oct,80
2021,01,Nov,84
2021,02,Nov,84
2021,03,Nov,103.0
2021,04,Nov,134.0
2021,05,Nov,141.0
2021,06,Nov,122.0
2021,07,Nov,119.0
2021,08,Nov,100.0
2021,09,Nov,88.0
2021,10,Nov,93.0
2021,11,Nov,91.0
2021,12,Nov,92.0
2021,13,Nov,78.0
2021,14,Nov,73.0
2021,15,Nov,59.0
2021,16,Nov,75.0
2021,17,Nov,74.0
2021,18,Nov,52.0
2021,19,Nov,57.0
2021,20,Nov,64.0
2021,21,Nov,44.0
2021,22,Nov,44.0
2021,23,Nov,62.0
2021,24,Nov,69.0
2021,25,Nov,88.0
2021,26,Nov,82.0
2021,27,Nov,82.0
2021,28,Nov,88.0
2021,29,Nov,89.0
2021,30,Nov,98.0
2021,31,Nov,84
2021,01,Dec,77.0
2021,02,Dec,72.0
2021,03,Dec,88.0
2021,04,Dec,77.0
2021,05,Dec,92.0
2021,06,Dec,92.0
2021,07,Dec,98.0
2021,08,Dec,106
2021,09,Dec,105.0
2021,10,Dec,93.0
2021,11,Dec,89.0
2021,12,Dec,90.0
2021,13,Dec,97.0
2021,14,Dec,116.0
2021,15,Dec,117.0
2021,16,Dec,106
2021,17,Dec,106
2021,18,Dec,122.0
2021,19,Dec,119.0
2021,20,Dec,119.0
2021,21,Dec,117.0
2021,22,Dec,128.0
2021,23,Dec,147.0
2021,24,Dec,146.0
2021,25,Dec,128.0
2021,26,Dec,121.0
2021,27,Dec,123.0
2021,28,Dec,106
2021,29,Dec,106
2021,30,Dec,106
2021,31,Dec,78.0
2022,01,Jan,113.0
2022,02,Jan,113.0
2022,03,Jan,113.0
2022,04,Jan,90.0
2022,05,Jan,109.0
2022,06,Jan,114.0
2022,07,Jan,114.0
2022,08,Jan,113.0
2022,09,Jan,113.0
2022,10,Jan,113.0
2022,11,Jan,113.0
2022,12,Jan,113.0
2022,13,Jan,97.0
2022,14,Jan,99.0
2022,15,Jan,93.0
2022,16,Jan,96.0
2022,17,Jan,100.0
2022,18,Jan,107.0
2022,19,Jan,99.0
2022,20,Jan,103.0
2022,21,Jan,99.0
2022,22,Jan,97.0
2022,23,Jan,142.0
2022,24,Jan,258.0
2022,25,Jan,154.0
2022,26,Jan,119.0
2022,27,Jan,98.0
2022,28,Jan,95.0
2022,29,Jan,100.0
2022,30,Jan,104.0
2022,31,Jan,112.0
2022,01,Feb,112.0
2022,02,Feb,106.0
2022,03,Feb,141.0
2022,04,Feb,112.0
2022,05,Feb,123.0
2022,06,Feb,116.0
2022,07,Feb,120.0
2022,08,Feb,110.0
2022,09,Feb,107.0
2022,10,Feb,94.0
2022,11,Feb,93.0
2022,12,Feb,108
2022,13,Feb,102.0
2022,14,Feb,103.0
2022,15,Feb,100.0
2022,16,Feb,98.0
2022,17,Feb,93.0
2022,18,Feb,98.0
2022,19,Feb,108.0
2022,20,Feb,103.0
2022,21,Feb,108
2022,22,Feb,108.0
2022,23,Feb,108.0
2022,24,Feb,122.0
2022,25,Feb,102.0
2022,26,Feb,104.0
2022,27,Feb,130.0
2022,28,Feb,103.0
2022,29,Feb,108
2022,30,Feb,108
2022,31,Feb,108
2022,01,Mar,104.0
2022,02,Mar,95
2022,03,Mar,95
2022,04,Mar,105.0
2022,05,Mar,100.0
2022,06,Mar,98.0
2022,07,Mar,102.0
2022,08,Mar,95
2022,09,Mar,95
2022,10,Mar,95
2022,11,Mar,95
2022,12,Mar,95
2022,13,Mar,95
2022,14,Mar,95
2022,15,Mar,95
2022,16,Mar,95
2022,17,Mar,95
2022,18,Mar,95
2022,19,Mar,95
2022,20,Mar,95
2022,21,Mar,95
2022,22,Mar,95
2022,23,Mar,95
2022,24,Mar,90.0
2022,25,Mar,88.0
2022,26,Mar,77.0
2022,27,Mar,79.0
2022,28,Mar,95
2022,29,Mar,95
2022,30,Mar,95
2022,31,Mar,104.0
2022,01,Apr,108.0
2022,02,Apr,117.0
2022,03,Apr,111.0
2022,04,Apr,109
2022,05,Apr,101.0
2022,06,Apr,114.0
2022,07,Apr,104.0
2022,08,Apr,110.0
2022,09,Apr,113.0
2022,10,Apr,104.0
2022,11,Apr,106.0
2022,12,Apr,111.0
2022,13,Apr,122.0
2022,14,Apr,125.0
2022,15,Apr,107.0
2022,16,Apr,109
2022,17,Apr,106.0
2022,18,Apr,108.0
2022,19,Apr,106.0
2022,20,Apr,102.0
2022,21,Apr,105.0
2022,22,Apr,117.0
2022,23,Apr,105.0
2022,24,Apr,106.0
